df220, dtau220
-0.007445141065830718, 0.45995599228357864
-0.0168495297805642, 0.4551784422474079
-0.023902821316614364, 0.4455856643356644
-0.028605015673981216, 0.4287738123945022
-0.03565830721003138, 0.41196949602122024
-0.04036050156739801, 0.3975614902339043
-0.043887147335423204, 0.3807458705088017
-0.0474137931034484, 0.3663340969375455
-0.04976489028213171, 0.35191855558234886
-0.05446708463949834, 0.3327028574873405
-0.05916927899686519, 0.3158910055461783
-0.05916927899686519, 0.3038717747769475
-0.06152037617554873, 0.27743700265252014
-0.06387147335423204, 0.25821376898963133
-0.06622257053291536, 0.23658668917289627
-0.06622257053291536, 0.2125482276344346
-0.06622257053291536, 0.18850976609597314
-0.06622257053291536, 0.17168284301905
-0.06622257053291536, 0.1500482276344346
-0.06622257053291536, 0.13081745840366543
-0.06622257053291536, 0.10918284301905001
-0.06622257053291536, 0.0827405353267423
-0.06152037617554873, 0.053879310344827624
-0.06152037617554873, 0.034648541114058684
-0.05916927899686519, 0.010602544007716652
-0.05681818181818188, -0.013443453098624936
-0.05446708463949834, -0.035085604051121155
-0.04976489028213171, -0.05433144441765125
-0.0474137931034484, -0.07356974921630055
-0.04036050156739801, -0.09282312515071123
-0.03565830721003138, -0.1120689655172411
-0.028605015673981216, -0.1289184952978053
-0.019200626959247735, -0.14817940680009611
-0.009796238244514255, -0.1650364721485409
-0.00039184952978055243, -0.17708584518929316
0.009012539184952928, -0.19153906438389168
0.025470219435736796, -0.20120719797443898
0.04427899686520376, -0.20367132867132853
0.060736677115987625, -0.2133394622618756
0.07954545454545436, -0.21820743911261098
0.09600313479623823, -0.2158563419339279
0.11010971786833856, -0.19907463226428734
0.11716300940438873, -0.17986646973715903
0.1242163009404389, -0.15825446105618513
0.12891849529780575, -0.1366349168073302
0.13362068965517238, -0.11741921871232175
0.1359717868338559, -0.09819598504943317
0.13832288401253923, -0.0813765975403904
0.13832288401253923, -0.06454967446346727
0.14067398119122254, -0.047730286954424495
0.14067398119122254, -0.023691825415963264
0.1453761755485894, -0.004476127320954593
0.1477272727272727, 0.014747106341934213
0.15242946708463934, 0.03396280443694266
0.1571316614420064, 0.05317850253195089
0.15948275862068972, 0.07480558234868617
0.16183385579937304, 0.09643266216542079
0.1571316614420064, 0.1204861948396434
0.15242946708463934, 0.13732818905232724
0.1477272727272727, 0.15176633711116505
0.14067398119122254, 0.17101971304557528
0.14067398119122254, 0.19505817458403696
0.14302507836990586, 0.21908910055461805
0.14067398119122254, 0.24313509766095986
0.13126959247648906, 0.2623960091632509
0.12656739811912243, 0.2840456956836268
0.12186520376175558, 0.30569538220400294
0.11951410658307227, 0.32733753315649894
0.11246081504702188, 0.3465909090909093
0.09835423197492177, 0.3634630455751148
0.08894984326018829, 0.3827239570774056
0.07484326018808773, 0.3947884012539188
0.06308777429467094, 0.4068453098625515
0.05133228840125392, 0.42370991077887643
0.039576802507836906, 0.4357668193875093
0.02311912225705326, 0.44783879913190283
0.006661442006269613, 0.45750693272245013
